Q1 - Tranche d'âge,Q2 - Plateforme(s),Q3 - Genre(s) préféré(s),Q4 - Fréquence de jeu,Q5 - Jeu en famille/enfants,Q6 - Dépenses mensuelles,Q7 - Licence connue ou nouvelle,Q8 - Avis sur les loot box,Q9 - Facteur d'essai d'un nouveau AAA,Q10 - Jeu souhaité
25-34,PC; PlayStation,Action; RPG; Aventure,Tous les jours,Parfois,21-50€,Plutôt licence connue,Négatif,Univers/histoire originale,Un RPG spatial avec une histoire vraiment évolutive
18-24,PC; Mobile,Shooter; Action; Course,Tous les jours,Sans objet,51-100€,Indifférent,Neutre,Multijoueur avec des amis,Un jeu coopératif où le monde change selon les choix des joueurs
35-44,PlayStation; Nintendo Switch,Aventure; RPG; Simulation,Plusieurs fois par semaine,Oui souvent,21-50€,Peu importe si le concept est bon,Positif si transparent sur les probabilités,Univers/histoire originale,Une grande aventure familiale jouable à plusieurs générations
25-34,PC; Xbox,Shooter; Stratégie; Simulation,Plusieurs fois par semaine,Jamais,51-100€,Plutôt licence connue,Très négatif,Qualité graphique,Un jeu de stratégie militaire avec une vraie campagne coopérative
45-54,PlayStation,Sport; Course; Aventure,Occasionnellement,Oui souvent,1-20€,Plutôt licence connue,Négatif,Recommandation d'un proche ou streamer,Un jeu de course avec des voitures historiques très détaillées
18-24,PC; PlayStation; Mobile,RPG; Action; Shooter,Tous les jours,Sans objet,100€ et plus,Plutôt nouvelle licence,Très négatif,Multijoueur avec des amis,Un RPG multijoueur sans achats intégrés
35-44,Xbox; PC,RPG; Stratégie; Simulation,Plusieurs fois par semaine,Parfois,21-50€,Peu importe si le concept est bon,Neutre,Univers/histoire originale,Un jeu de gestion d'une colonie sur une planète inconnue
55 et plus,Nintendo Switch,Aventure; Simulation; Stratégie,Occasionnellement,Oui souvent,0€,Peu importe si le concept est bon,Positif si transparent sur les probabilités,Prix,Un jeu d'aventure calme jouable en famille
25-34,PC,RPG; Stratégie; Action,Tous les jours,Sans objet,51-100€,Plutôt nouvelle licence,Très négatif,Univers/histoire originale,Un RPG où chaque personnage possède une histoire entièrement différente
45-54,PlayStation; Xbox,Sport; Shooter; Action,Plusieurs fois par semaine,Jamais,21-50€,Plutôt licence connue,Négatif,Qualité graphique,Un jeu de sport avec un vrai mode carrière narratif
18-24,PC; Nintendo Switch,Aventure; RPG; Simulation,Plusieurs fois par semaine,Parfois,1-20€,Indifférent,Neutre,Univers/histoire originale,Une aventure fantastique avec des énigmes générées différemment à chaque partie
35-44,PlayStation; Mobile,Action; Aventure; Sport,Occasionnellement,Oui souvent,1-20€,Peu importe si le concept est bon,Positif si transparent sur les probabilités,Multijoueur avec des amis,Un jeu coopératif familial avec une vraie progression
25-34,PC; Xbox; PlayStation,Shooter; Action; RPG,Tous les jours,Sans objet,100€ et plus,Licence connue uniquement,Très négatif,Multijoueur avec des amis,Un shooter AAA avec une campagne solo aussi ambitieuse que le multijoueur
45-54,Nintendo Switch; Mobile,Simulation; Stratégie; Aventure,Rarement,Oui souvent,0€,Peu importe si le concept est bon,Peu importe,Prix,Un simulateur de voyage permettant d'explorer des villes historiques
35-44,PC; PlayStation,Aventure; RPG; Course,Plusieurs fois par semaine,Parfois,21-50€,Plutôt nouvelle licence,Négatif,Recommandation d'un proche ou streamer,"Un monde ouvert sans combat, centré sur l'exploration"
18-24,PC; Xbox,Shooter; Action; Course,Tous les jours,Sans objet,51-100€,Indifférent,Très négatif,Qualité graphique,Un jeu AAA futuriste avec une ville entièrement destructible
55 et plus,PlayStation; Nintendo Switch,Aventure; Sport,Occasionnellement,Oui souvent,1-20€,Plutôt licence connue,Neutre,Prix,Un jeu de tennis accessible mais très réaliste
25-34,PC; Mobile,Stratégie; Simulation; RPG,Plusieurs fois par semaine,Jamais,21-50€,Plutôt nouvelle licence,Négatif,Univers/histoire originale,Un jeu de stratégie politique dans un univers futuriste
35-44,Xbox; PlayStation,Action; RPG; Shooter,Plusieurs fois par semaine,Parfois,51-100€,Peu importe si le concept est bon,Très négatif,Multijoueur avec des amis,Un RPG AAA entièrement jouable en coopération à quatre
45-54,PC; Nintendo Switch,Simulation; Aventure; Stratégie,Rarement,Sans objet,0€,Indifférent,Positif si transparent sur les probabilités,Recommandation d'un proche ou streamer,Un jeu de construction de ville avec une histoire vivante
